City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,camana,-16.62,-72.71,63.59,67,100,8.77,PE,1595266859
1,hermanus,-34.42,19.23,57.99,84,0,5.99,ZA,1595266720
2,port alfred,-33.59,26.89,60.13,61,0,4.94,ZA,1595266720
3,rikitea,-23.12,-134.97,67.96,64,83,14.41,PF,1595266475
4,butaritari,3.07,172.79,82.78,67,90,6.58,KI,1595266720
5,georgetown,5.41,100.34,78.8,88,20,2.24,MY,1595266518
6,hilo,19.73,-155.09,75.2,78,90,6.93,US,1595266650
7,jamestown,42.1,-79.24,81.0,57,20,14.99,US,1595266641
8,saskylakh,71.92,114.08,51.4,64,98,4.45,RU,1595266860
9,busselton,-33.65,115.33,48.99,64,100,13.18,AU,1595266721
10,chokurdakh,70.63,147.92,66.16,51,91,9.26,RU,1595266860
11,olinda,-8.01,-34.86,82.4,61,40,18.34,BR,1595266721
12,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1595266721
13,havre-saint-pierre,50.23,-63.6,73.4,83,90,12.75,CA,1595266861
14,taoudenni,22.68,-3.98,113.32,9,4,7.61,ML,1595266861
15,new norfolk,-42.78,147.06,46.0,91,97,3.0,AU,1595266861
16,bredasdorp,-34.53,20.04,60.8,87,0,4.7,ZA,1595266482
17,avarua,-21.21,-159.78,75.2,78,100,21.92,CK,1595266722
18,sinnamary,5.38,-52.95,82.38,80,58,8.68,GF,1595266722
19,albany,42.6,-73.97,91.0,38,74,1.01,US,1595266486
20,aykhal,66.0,111.5,53.6,93,90,8.95,RU,1595266722
21,qui nhon,13.77,109.23,79.36,85,100,4.0,VN,1595266862
22,richards bay,-28.78,32.04,63.5,79,0,9.57,ZA,1595266862
23,port elizabeth,-33.92,25.57,60.8,100,0,6.93,ZA,1595266862
24,namatanai,-3.67,152.43,79.05,82,39,5.77,PG,1595266723
25,tyup,42.73,78.36,56.53,55,59,0.85,KG,1595266694
26,narsaq,60.92,-46.05,69.8,37,40,6.93,GL,1595266863
27,nagar karnul,16.48,78.32,81.03,72,100,1.74,IN,1595266723
28,danielskuil,-28.19,23.54,48.31,39,0,6.04,ZA,1595266723
29,hobart,-42.88,147.33,46.99,81,90,9.17,AU,1595266609
30,macapa,0.04,-51.07,89.6,59,75,4.7,BR,1595266653
31,punta arenas,-53.15,-70.92,33.8,80,40,5.82,CL,1595266540
32,puerto ayora,-0.74,-90.35,73.4,78,75,9.17,EC,1595266474
33,faya,18.39,42.45,68.0,64,93,6.93,SA,1595266724
34,abnub,27.27,31.15,93.2,28,0,11.41,EG,1595266724
35,belmonte,-15.86,-38.88,78.8,74,40,5.82,BR,1595266724
36,tete,-16.16,33.59,77.0,41,40,6.93,MZ,1595266724
37,vera cruz,-12.63,-41.03,82.53,37,71,8.12,BR,1595266724
38,kaitangata,-46.28,169.85,51.01,62,100,4.0,NZ,1595266864
39,ushuaia,-54.8,-68.3,28.4,92,0,0.94,AR,1595266478
40,buala,-8.14,159.59,78.57,84,30,6.26,SB,1595266865
41,lorengau,-2.02,147.27,81.81,74,53,6.31,PG,1595266725
42,bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1595266725
43,bilma,18.69,12.92,99.82,16,0,11.05,NE,1595266566
44,east london,-33.02,27.91,66.47,41,0,2.19,ZA,1595266725
45,novaya chigla,51.22,40.48,68.11,62,30,6.87,RU,1595266725
46,waitakere,-36.92,174.66,57.99,93,14,5.82,NZ,1595266581
47,atuona,-9.8,-139.03,79.9,79,14,18.99,PF,1595266489
48,mehamn,71.04,27.85,48.2,100,90,8.05,NO,1595266866
49,vaini,-21.2,-175.2,69.8,83,40,9.17,TO,1595266636
50,ilulissat,69.22,-51.1,53.6,46,40,4.7,GL,1595266866
51,kodiak,57.79,-152.41,64.4,63,1,8.05,US,1595266726
52,kavaratti,10.57,72.64,82.38,80,100,25.37,IN,1595266617
53,abu dhabi,24.47,54.37,96.8,60,95,5.82,AE,1595266598
54,alekseyevskaya,50.29,42.18,73.99,59,48,3.53,RU,1595266727
55,magadan,59.57,150.8,53.4,78,0,4.97,RU,1595266727
56,trincomalee,8.57,81.23,80.85,80,94,9.71,LK,1595266591
57,redmond,47.67,-122.12,78.01,68,0,4.03,US,1595266584
58,portland,45.52,-122.68,79.0,64,1,5.82,US,1595266576
59,axim,4.87,-2.24,76.91,86,87,8.28,GH,1595266868
60,khatanga,71.97,102.5,51.42,70,60,6.44,RU,1595266727
61,beringovskiy,63.05,179.32,45.36,84,0,11.79,RU,1595266728
62,cape town,-33.93,18.42,60.01,82,0,5.82,ZA,1595266728
63,coquimbo,-29.95,-71.34,64.4,55,43,4.7,CL,1595266728
64,aklavik,68.22,-135.01,51.8,76,90,8.05,CA,1595266868
65,oban,56.41,-5.47,57.0,75,88,1.01,GB,1595266728
66,ribeira grande,38.52,-28.7,75.2,60,75,6.93,PT,1595266728
67,katsuura,35.13,140.3,75.0,92,100,8.88,JP,1595266645
68,cherskiy,68.75,161.3,65.8,51,57,3.85,RU,1595266493
69,aleksandrov gay,50.15,48.57,77.7,41,68,8.3,RU,1595266729
70,bermeo,43.42,-2.72,75.2,69,20,9.17,ES,1595266729
71,praia,14.92,-23.51,84.2,66,75,6.93,CV,1595266729
72,flinders,-34.58,150.86,46.99,70,0,1.01,AU,1595266870
73,atbasar,51.8,68.33,73.58,54,87,8.3,KZ,1595266729
74,poum,-20.23,164.02,69.64,61,7,12.15,NC,1595266729
75,pangnirtung,66.15,-65.71,44.6,100,90,13.87,CA,1595266699
76,hithadhoo,-0.6,73.08,84.2,79,100,13.96,MV,1595266730
77,cabo san lucas,22.89,-109.91,91.4,43,5,12.75,MX,1595266730
78,bereda,43.27,-7.54,64.99,89,22,13.0,ES,1595266730
79,vestmanna,62.16,-7.17,51.8,81,75,16.11,FO,1595266730
80,yeppoon,-23.13,150.73,50.0,81,92,3.36,AU,1595266871
81,longyearbyen,78.22,15.64,44.6,93,75,6.93,SJ,1595266669
82,tasiilaq,65.61,-37.64,46.4,75,20,9.17,GL,1595266477
83,victoria,22.29,114.16,84.99,79,99,5.99,HK,1595266488
84,la rioja,42.25,-2.5,95.0,30,20,3.36,ES,1595266731
85,vila velha,-20.33,-40.29,78.01,69,40,8.05,BR,1595266731
86,tuktoyaktuk,69.45,-133.04,42.8,87,90,12.75,CA,1595266646
87,arequipa,-16.4,-71.53,69.8,11,91,10.29,PE,1595266731
88,hinton,53.4,-117.59,74.86,35,5,2.17,CA,1595266731
89,santa luzia,-19.77,-43.85,71.6,56,75,6.93,BR,1595266731
90,sioux falls,43.55,-96.7,80.6,54,75,6.93,US,1595266572
91,tupik,54.43,119.93,47.41,88,7,2.06,RU,1595266732
92,sitka,57.05,-135.33,57.2,93,90,11.41,US,1595266738
93,vardo,70.37,31.11,53.6,87,85,12.75,NO,1595266732
94,kaka,37.35,59.61,90.03,14,0,8.39,TM,1595266872
95,nuuk,64.18,-51.72,48.2,87,90,4.7,GL,1595266732
96,cidreira,-30.18,-50.21,74.77,65,9,2.86,BR,1595266663
97,grand-santi,4.25,-54.38,82.47,81,41,3.98,GF,1595266873
98,thompson,55.74,-97.86,77.0,36,75,9.17,CA,1595266733
99,zeya,53.75,127.27,60.93,94,99,5.93,RU,1595266733
100,bethel,41.37,-73.41,89.01,65,72,3.0,US,1595266733
101,gilbues,-9.83,-45.34,90.41,25,13,8.52,BR,1595266733
102,horst,52.31,5.58,66.0,63,0,1.99,NL,1595266733
103,kamaishi,39.27,141.88,67.12,88,100,5.59,JP,1595266733
104,ostrovnoy,68.05,39.51,70.25,60,69,8.5,RU,1595266676
105,seydi,39.48,62.91,94.24,13,1,16.11,TM,1595266733
106,podporozhye,60.91,34.17,65.25,60,72,4.25,RU,1595266733
107,yenagoa,4.92,6.26,74.3,94,96,3.36,NG,1595266734
108,gidam,18.98,81.4,77.22,87,100,4.25,IN,1595266734
109,port macquarie,-31.43,152.92,44.6,65,0,6.93,AU,1595266734
110,sakakah,29.97,40.21,105.8,8,0,9.17,SA,1595266734
111,chulucanas,-5.09,-80.16,83.8,40,26,7.36,PE,1595266734
112,kralendijk,12.15,-68.27,89.6,66,20,18.34,BQ,1595266734
113,banda aceh,5.56,95.32,79.81,82,93,6.06,ID,1595266727
114,chapais,49.78,-74.85,53.6,93,90,16.11,CA,1595266730
115,beidao,34.57,105.89,65.71,73,86,5.64,CN,1595266735
116,dikson,73.51,80.55,42.28,93,65,14.45,RU,1595266735
117,kapaa,22.08,-159.32,80.6,69,40,14.99,US,1595266735
118,mar del plata,-38.0,-57.56,53.6,100,90,14.99,AR,1595266715
119,zhigansk,66.77,123.37,59.85,95,100,3.47,RU,1595266875
120,francistown,-21.17,27.51,59.0,44,0,5.82,BW,1595266735
121,tahoua,14.89,5.27,93.2,44,20,4.7,NE,1595266735
122,souillac,-20.52,57.52,69.8,64,75,9.17,MU,1595266736
123,krasnorechenskiy,44.63,135.35,61.36,93,100,2.95,RU,1595266736
124,portobelo,9.55,-79.65,89.01,70,100,8.01,PA,1595266736
125,arrecife,28.96,-13.55,78.8,61,20,24.16,ES,1595266736
126,olafsvik,64.89,-23.71,50.67,70,16,2.19,IS,1595266665
127,nouadhibou,20.93,-17.03,86.0,55,34,5.82,MR,1595266644
128,semnan,35.57,53.4,84.65,25,0,7.67,IR,1595266736
129,sao filipe,14.9,-24.5,77.9,76,33,10.0,CV,1595266877
130,esperance,-33.87,121.9,50.0,87,90,5.82,AU,1595266877
131,constitucion,-35.33,-72.42,56.28,78,46,11.77,CL,1595266702
132,arkhangelsk,64.54,40.54,71.6,46,0,4.47,RU,1595266845
133,baruun-urt,46.68,113.28,56.64,48,8,6.13,MN,1595266737
134,port hedland,-20.32,118.57,62.6,48,0,9.17,AU,1595266737
135,tiksi,71.69,128.87,46.02,86,100,14.36,RU,1595266737
136,paita,-5.09,-81.11,75.2,60,28,14.99,PE,1595266737
137,saint-augustin,51.23,-58.65,60.82,94,98,14.23,CA,1595266878
138,bardiyah,31.76,25.09,75.09,79,0,12.88,LY,1595266737
139,ponta do sol,32.67,-17.1,73.0,62,0,3.0,PT,1595266513
140,nikolayevsk-na-amure,53.14,140.73,57.09,88,100,6.73,RU,1595266738
141,warmbad,-28.45,18.73,65.46,23,0,6.62,NA,1595266738
142,castro,-24.79,-50.01,69.89,57,0,7.09,BR,1595266494
143,yamada,39.47,141.95,66.58,91,100,5.64,JP,1595266738
144,leningradskiy,69.38,178.42,42.08,76,16,8.23,RU,1595266878
145,beira,-19.84,34.84,71.6,78,40,11.41,MZ,1595266879
146,guerrero negro,27.98,-114.06,85.66,40,0,6.51,MX,1595266879
147,sanok,49.56,22.21,69.01,85,4,7.0,PL,1595266739
148,ahipara,-35.17,173.17,56.12,92,42,7.16,NZ,1595266879
149,pevek,69.7,170.31,45.75,58,0,3.2,RU,1595266879
150,the valley,18.22,-63.06,89.6,62,20,12.75,AI,1595266879
151,salinopolis,-0.61,-47.36,83.68,73,45,12.55,BR,1595266880
152,imbituba,-28.24,-48.67,78.8,54,0,11.41,BR,1595266739
153,san patricio,19.22,-104.7,89.6,66,5,6.93,MX,1595266739
154,sioux lookout,50.1,-91.92,68.0,52,75,3.36,CA,1595266587
155,tuatapere,-46.13,167.68,39.0,83,99,3.0,NZ,1595266880
156,maniitsoq,65.42,-52.9,46.47,88,100,6.55,GL,1595266880
157,concordia,-31.39,-58.02,78.01,61,99,6.93,AR,1595266740
158,kavieng,-2.57,150.8,81.52,76,33,4.47,PG,1595266545
159,konya,38.17,32.5,91.4,27,40,10.29,TR,1595266740
160,george town,5.41,100.34,78.8,88,20,2.24,MY,1595266740
161,nieuw amsterdam,5.88,-55.08,80.6,88,40,9.17,SR,1595266740
162,sur,22.57,59.53,87.98,65,73,17.58,OM,1595266740
163,clyde river,70.47,-68.59,46.4,93,90,9.17,CA,1595266770
164,egvekinot,66.32,-179.17,43.16,76,35,5.7,RU,1595266740
165,fortuna,40.6,-124.16,55.99,100,90,4.7,US,1595266881
166,gboko,7.32,9.0,76.48,85,58,7.43,NG,1595266741
167,nhulunbuy,-12.23,136.77,71.6,83,69,5.82,AU,1595266741
168,torbay,47.67,-52.73,81.0,57,75,17.22,CA,1595266882
169,provideniya,64.38,-173.3,46.8,72,63,4.14,RU,1595266741
170,talnakh,69.49,88.4,50.0,100,90,8.95,RU,1595266717
171,severo-kurilsk,50.68,156.12,48.49,85,18,4.16,RU,1595266742
172,yellowknife,62.46,-114.35,73.0,64,75,4.7,CA,1595266502
173,charcas,23.13,-101.12,68.76,52,94,2.1,MX,1595266742
174,coihaique,-45.58,-72.07,35.6,93,90,4.7,CL,1595266882
175,thinadhoo,0.53,72.93,84.22,78,98,18.05,MV,1595266742
176,traiguen,-38.25,-72.68,53.04,82,99,9.26,CL,1595266742
177,severnyy,50.68,36.55,73.4,49,60,6.71,RU,1595266742
178,tura,25.52,90.22,73.33,98,100,4.85,IN,1595266743
179,amiens,49.9,2.3,71.6,37,80,14.99,FR,1595266743
180,moose factory,51.26,-80.61,57.2,93,90,13.87,CA,1595266743
181,chuy,-33.7,-53.46,69.78,79,93,8.52,UY,1595266733
182,bengkulu,-3.8,102.27,77.56,86,93,6.64,ID,1595266743
183,hami,42.8,93.45,89.24,18,100,10.2,CN,1595266883
184,lebu,-37.62,-73.65,54.5,81,99,11.32,CL,1595266743
185,barra do garcas,-15.89,-52.26,89.65,26,0,6.6,BR,1595266744
186,srednekolymsk,67.45,153.68,66.16,54,99,10.89,RU,1595266744
187,west richland,46.3,-119.36,88.0,25,1,9.17,US,1595266744
188,plouzane,48.38,-4.62,68.0,59,9,14.99,FR,1595266744
189,divnogorsk,55.96,92.36,60.8,93,40,4.47,RU,1595266635
190,luau,-10.71,22.22,64.27,35,0,3.67,AO,1595266744
191,mundelein,42.26,-88.0,84.0,48,1,8.05,US,1595266744
192,buraydah,26.33,43.98,105.8,13,77,8.05,SA,1595266744
193,saint-philippe,-21.36,55.77,68.0,64,75,19.46,RE,1595266643
194,bonthe,7.53,-12.51,77.68,86,100,15.01,SL,1595266745
195,lompoc,34.64,-120.46,60.8,77,27,10.29,US,1595266742
196,praya,14.92,-23.51,84.2,66,75,6.93,CV,1595266745
197,taree,-31.9,152.47,44.6,65,14,6.93,AU,1595266745
198,gushikawa,26.35,127.87,82.4,88,20,4.7,JP,1595266745
199,cururupu,-1.83,-44.87,87.62,52,15,7.4,BR,1595266651
200,kijang,35.24,129.21,77.0,83,100,4.7,KR,1595266746
201,carnarvon,-24.87,113.63,53.6,81,0,8.05,AU,1595266672
202,maputo,-25.97,32.59,66.99,77,0,8.05,MZ,1595266886
203,mikumi,-7.4,36.98,63.68,61,2,3.09,TZ,1595266746
204,hasaki,35.73,140.83,69.01,100,75,5.82,JP,1595266746
205,beloha,-25.17,45.05,62.51,73,0,12.53,MG,1595266886
206,san carlos de bariloche,-41.15,-71.31,39.2,86,75,11.41,AR,1595266514
207,maloy,61.94,5.11,55.4,76,75,11.41,NO,1595266583
208,saint george,37.1,-113.58,97.0,14,1,10.29,US,1595266886
209,atar,20.52,-13.05,107.82,12,44,9.28,MR,1595266886
210,saldanha,-33.01,17.94,62.6,72,0,3.36,ZA,1595266747
211,linhares,-19.39,-40.07,74.8,78,65,7.27,BR,1595266714
212,touros,-5.2,-35.46,78.8,88,75,6.93,BR,1595266747
213,san luis,-33.3,-66.34,55.89,62,27,11.07,AR,1595266634
214,faanui,-16.48,-151.75,77.38,84,49,24.36,PF,1595266686
215,alice springs,-23.7,133.88,53.6,66,90,6.93,AU,1595266887
216,airai,-8.93,125.41,54.9,89,13,2.24,TL,1595266887
217,tabou,4.42,-7.35,77.74,83,63,11.16,CI,1595266887
218,meulaboh,4.14,96.13,78.69,85,100,3.96,ID,1595266888
219,shenjiamen,29.96,122.3,77.74,94,100,14.5,CN,1595266748
220,iqaluit,63.75,-68.51,44.6,100,90,3.36,CA,1595266888
221,gat,31.61,34.76,82.99,64,0,1.01,IL,1595266681
222,goderich,43.75,-81.72,75.0,86,19,5.01,CA,1595266801
223,asau,46.43,26.4,62.01,90,76,1.88,RO,1595266748
224,manchester,53.48,-2.24,61.0,55,75,10.29,GB,1595266748
225,taruma,-22.75,-50.58,79.79,44,0,5.5,BR,1595266748
226,san andres,12.58,-81.7,87.8,74,40,11.41,CO,1595266609
227,ahuimanu,21.44,-157.84,78.8,69,90,13.87,US,1595266736
228,rawson,-43.3,-65.1,46.35,76,100,17.94,AR,1595266749
229,dali,25.7,100.18,63.09,87,100,4.65,CN,1595266889
230,urdoma,61.75,48.54,66.6,72,4,7.56,RU,1595266749
231,yerbogachen,61.28,108.01,49.82,75,88,3.91,RU,1595266749
232,alta floresta,-9.88,-56.09,95.36,23,1,4.9,BR,1595266749
233,rundu,-17.93,19.77,69.8,39,0,5.82,NA,1595266750
234,isangel,-19.55,169.27,67.71,60,7,6.17,VU,1595266750
235,mitsamiouli,-11.38,43.28,77.0,69,20,8.05,KM,1595266651
236,nikolskoye,59.7,30.79,73.99,53,40,8.95,RU,1595266750
237,calvinia,-31.47,19.78,58.32,32,0,7.18,ZA,1595266890
238,buchanan,5.88,-10.05,80.6,88,75,10.29,LR,1595266890
239,klaksvik,62.23,-6.59,51.8,81,75,16.11,FO,1595266890
240,auki,-8.77,160.7,76.6,87,13,5.82,SB,1595266701
241,seminole,28.71,-81.21,89.6,59,40,9.17,US,1595266750
242,cayenne,4.93,-52.33,84.2,70,77,6.93,GF,1595266692
243,baden-baden,48.75,8.25,86.0,54,27,5.82,DE,1595266751
244,porto santo,33.07,-16.34,73.4,60,70,20.8,PT,1595266751
245,machinga,-15.17,35.3,61.21,70,0,4.81,MW,1595266751
246,tahta,26.77,31.5,98.6,22,0,9.17,EG,1595266751
247,roebourne,-20.78,117.13,67.68,50,0,13.71,AU,1595266751
248,soubre,5.79,-6.61,75.97,93,77,4.88,CI,1595266751
249,ancud,-41.87,-73.82,53.6,76,20,5.82,CL,1595266892
250,bambous virieux,-20.34,57.76,69.8,64,75,9.17,MU,1595266752
251,inirida,3.87,-67.92,79.63,82,94,4.47,CO,1595266752
252,truro,50.27,-5.05,66.0,63,1,12.75,GB,1595266752
253,kissidougou,9.18,-10.1,76.28,92,73,5.14,GN,1595266752
254,taltal,-25.4,-70.48,64.53,58,100,3.58,CL,1595266752
255,nanortalik,60.14,-45.24,51.06,64,43,4.5,GL,1595266752
256,quatre cocos,-20.21,57.76,69.8,64,75,9.17,MU,1595266752
257,vidor,30.13,-94.02,86.0,83,75,13.87,US,1595266753
258,bizhbulyak,53.7,54.26,62.29,88,2,3.51,RU,1595266753
259,padre bernardo,-15.35,-48.5,83.68,24,4,8.52,BR,1595266753
260,soc trang,9.6,105.98,79.68,81,100,2.75,VN,1595266523
261,christchurch,-43.53,172.63,51.8,81,44,12.75,NZ,1595266606
262,ust-nera,64.57,143.2,60.62,57,9,4.32,RU,1595266893
263,sambava,-14.27,50.17,70.09,79,10,17.0,MG,1595266753
264,brae,60.4,-1.35,55.4,76,59,8.05,GB,1595266733
265,kommunisticheskiy,61.68,64.48,54.81,72,0,3.15,RU,1595266754
266,gorontalo,0.54,123.06,74.3,89,52,2.59,ID,1595266754
267,te anau,-45.42,167.72,42.13,89,89,2.82,NZ,1595266894
268,qaanaaq,77.48,-69.36,47.25,74,95,0.81,GL,1595266754
269,dingle,11.0,122.67,77.47,83,42,4.18,PH,1595266754
270,praia da vitoria,38.73,-27.07,71.6,68,75,6.91,PT,1595266894
